"pond_id","doy","GPP","R","NEP","flag"
"A",145,0.833961845968016,1.68344346896071,2.51740531492873,1
"A",146,6.22813058207927,-2.50063736737338,3.72749321470589,0
"A",147,0.337826879232915,-0.234182162667015,0.103644716565899,0
"A",148,-1.09838020928022,3.44819628856119,2.34981607928098,1
"A",149,3.26440691421623,-3.94107066007337,-0.676663745857138,0
"A",150,-1.34277607850019,4.96124718487724,3.61847110637705,1
"A",151,2.80010193257875,-8.17419864789204,-5.37409671531329,0
"A",152,0.675591180670845,6.86735260315732,7.54294378382816,1
"A",153,2.12939443928493,-0.482393178297256,1.64700126098767,0
"A",154,1.95557752562486,-1.07205347345139,0.883524052173472,0
"A",155,1.14421860946391,-0.872486235839063,0.271732373624848,0
"A",156,1.87031630153487,-2.05684341488393,-0.186527113349059,0
"A",157,2.88994024173502,-3.42493357779256,-0.534993336057547,0
"A",158,1.01910419558506,0.329408132587675,1.34851232817274,1
"A",159,2.63790175106502,-0.500171130872329,2.13773062019269,0
"A",160,3.5634295674403,-3.20437936374723,0.359050203693075,0
"A",161,0.715165265589585,-3.39126666212954,-2.67610139653996,0
"A",162,3.34589287756833,-5.72307192390085,-2.37717904633252,0
"A",163,3.32275092674835,-6.86952873773258,-3.54677781098423,0
"A",164,4.77631996487971,-5.9415675201432,-1.16524755526348,0
"A",165,-0.16584712625273,2.4116816453087,2.24583451905597,1
"A",166,2.80298536082896,-4.1173405787544,-1.31435521792544,0
"A",167,0.917106155992163,-3.575651686797,-2.65854553080483,0
"A",168,-1.44990558971903,1.89874074069928,0.448835150980253,1
"A",169,1.45679108509845,-3.32444622460351,-1.86765513950506,0
"A",170,-1.02343756545481,-0.0904040241037146,-1.11384158955852,1
"A",171,-1.33959081456471,-0.59596233720125,-1.93555315176596,1
"A",172,0.132929499756914,-3.28318231680003,-3.15025281704312,0
"A",173,-0.204542887953642,-3.12182100870017,-3.32636389665381,1
"A",174,0.372123946196868,-1.02315547251365,-0.65103152631678,0
"A",175,5.37298324937684,-8.08187197398122,-2.70888872460438,0
"A",176,2.48484310001448,-5.20996512346132,-2.72512202344684,0
"A",177,2.64653627537111,-2.64368033962161,0.00285593574949772,0
"A",178,0.247711119994244,-4.61474785819799,-4.36703673820375,0
"A",179,2.23327249330338,-6.37573549320541,-4.14246299990203,0
"A",180,-0.791492490514569,-1.40999843702824,-2.2014909275428,1
"A",181,-0.0974204614341522,-3.41872530765992,-3.51614576909407,1
"A",182,-0.747701769945737,-1.91014647756302,-2.65784824750876,1
"A",183,2.4463632063453,-7.32554793901601,-4.87918473267071,0
"A",184,0.120833579734121,-1.9707286631499,-1.84989508341578,0
"A",185,-0.127602087674104,-3.20965180561517,-3.33725389328927,1
"A",186,0.778863108585413,-4.70139353477494,-3.92253042618952,0
"A",187,4.00105365358634,-6.84595929259818,-2.84490563901184,0
"A",188,1.9776920003152,-5.52039110246731,-3.54269910215211,0
"A",189,1.29485412623246,-4.83357334218056,-3.5387192159481,0
"A",190,1.32459568684119,-4.64872275083246,-3.32412706399127,0
"A",191,-0.529128681489116,-2.7380513995258,-3.26718008101491,1
"A",192,4.81510384040489,-6.30146784368601,-1.48636400328112,0
"A",193,1.5817455682629,-4.36349370777059,-2.78174813950769,0
"A",194,3.81413606636851,-6.7675393372879,-2.95340327091939,0
"A",195,6.13252670374641,-6.65311533407313,-0.520588630326714,0
"A",196,7.3799460857906,-10.0973583722128,-2.71741228642217,0
"A",197,4.29345439562133,-9.77514351874602,-5.4816891231247,0
"A",198,7.75602650464291,-5.27667264238228,2.47935386226063,0
"A",199,7.33869246882935,-7.27283910851324,0.0658533603161056,0
"A",200,6.67816978627241,-7.90886675516339,-1.23069696889097,0
"A",201,5.89442962466258,-7.38251591962027,-1.4880862949577,0
"A",202,2.48573649109338,-5.8514015350448,-3.36566504395141,0
"A",203,2.25747974307716,-4.057935663161,-1.80045592008383,0
"A",204,6.10244935205787,-6.39766405469205,-0.295214702634175,0
"A",205,9.10540520038753,-11.2422131020415,-2.13680790165397,0
"A",206,7.66750454462942,-9.25127156041825,-1.58376701578883,0
"A",207,8.03440802478012,-10.2095327530577,-2.17512472827759,0
"A",208,4.82768338371387,-12.3419108354699,-7.51422745175608,0
"A",209,3.60722871306338,-4.66879371938847,-1.06156500632509,0
"A",210,6.2489037960356,-8.27993656199941,-2.0310327659638,0
"A",211,1.64851399059415,-5.32308017536717,-3.67456618477302,0
"A",212,5.32211956571085,-6.74707108821733,-1.42495152250648,0
"A",213,4.65576936376017,-7.16273593749527,-2.5069665737351,0
"A",214,3.22283020440362,-7.64851455593202,-4.4256843515284,0
"A",215,2.72698851446397,-5.35989653019793,-2.63290801573396,0
"A",216,3.45639403627488,-6.93889352972031,-3.48249949344543,0
"A",217,4.22950852428855,-5.09088169867344,-0.861373174384883,0
"A",218,1.9233127903581,-4.33126558288365,-2.40795279252556,0
"A",219,3.56901875180092,-6.91527156618814,-3.34625281438722,0
"A",220,5.00255863388904,-6.44172473309995,-1.43916609921091,0
"A",221,2.22478928540405,-2.19689590851535,0.0278933768887035,0
"A",222,8.08961123283496,-10.4874724770299,-2.39786124419497,0
"A",223,4.23844788987334,-7.32204663081886,-3.08359874094552,0
"A",224,10.2969480827321,-9.35876617531053,0.938181907421557,0
"A",225,8.1889640130267,-9.09923225539623,-0.910268242369524,0
"A",226,10.578947598926,-10.4391523584647,0.13979524046125,0
"A",227,12.7241339562898,-13.4418209213692,-0.717686965079411,0
"A",228,10.7194640130962,-13.2944793102063,-2.57501529711008,0
