pond_id,treatment,period,doy,dosat_dailyavg
D,reference,BASE,171,143.8567017
E,reference,BASE,171,159.875088
F,reference,BASE,171,108.6807572
A,pulsed,BASE,172,53.36041169
B,pulsed,BASE,172,91.7565626
C,pulsed,BASE,172,144.8893488
D,reference,BASE,172,121.2596554
E,reference,BASE,172,136.3156115
F,reference,BASE,172,109.6445855
A,pulsed,BASE,173,53.83439879
B,pulsed,BASE,173,84.11202927
C,pulsed,BASE,173,148.8879134
D,reference,BASE,173,111.5382364
E,reference,BASE,173,150.3506173
F,reference,BASE,173,113.1506756
A,pulsed,BASE,174,47.53074096
B,pulsed,BASE,174,79.27326435
C,pulsed,BASE,174,127.1508006
D,reference,BASE,174,102.5603978
E,reference,BASE,174,120.0290455
F,reference,BASE,174,100.1754429
A,pulsed,BASE,175,34.33379146
B,pulsed,BASE,175,57.37380371
C,pulsed,BASE,175,112.82383
D,reference,BASE,175,81.57785433
E,reference,BASE,175,128.8123415
F,reference,BASE,175,99.22069665
A,pulsed,PULSE1,176,35.12655729
B,pulsed,PULSE1,176,72.49899763
C,pulsed,PULSE1,176,136.3514154
D,reference,PULSE1,176,89.19454065
E,reference,PULSE1,176,132.5525717
F,reference,PULSE1,176,117.893382
A,pulsed,PULSE1,177,48.00063667
B,pulsed,PULSE1,177,66.50213685
C,pulsed,PULSE1,177,148.4081502
D,reference,PULSE1,177,117.9823416
E,reference,PULSE1,177,147.831148
F,reference,PULSE1,177,110.5729748
A,pulsed,PULSE1,178,44.43768556
B,pulsed,PULSE1,178,69.37771765
C,pulsed,PULSE1,178,158.6263249
D,reference,PULSE1,178,117.1540978
E,reference,PULSE1,178,170.0456699
F,reference,PULSE1,178,101.6673179
A,pulsed,PULSE1,179,22.81703906
B,pulsed,PULSE1,179,64.92882708
C,pulsed,PULSE1,179,151.3773223
D,reference,PULSE1,179,89.12581396
E,reference,PULSE1,179,144.1997658
F,reference,PULSE1,179,114.8041221
A,pulsed,PULSE1,180,25.27887073
B,pulsed,PULSE1,180,52.66323765
C,pulsed,PULSE1,180,150.2990409
D,reference,PULSE1,180,94.78605821
E,reference,PULSE1,180,152.4263544
F,reference,PULSE1,180,98.73925879
A,pulsed,PULSE1,181,23.79007702
B,pulsed,PULSE1,181,52.7796099
C,pulsed,PULSE1,181,145.4563878
D,reference,PULSE1,181,94.88687592
E,reference,PULSE1,181,143.64897
F,reference,PULSE1,181,115.2966895
A,pulsed,PULSE1,182,18.13371329
B,pulsed,PULSE1,182,49.595025
C,pulsed,PULSE1,182,130.7748176
D,reference,PULSE1,182,90.96164746
E,reference,PULSE1,182,145.2407205
