Run,RunDate,sampleID,pondID,doy,TOC_ppb,IC_ppb,flag_IC,TC_ppb
1,1/23/2022 10:49,B223,B,223,24200,198,,24400
1,1/23/2022 11:18,B225,B,225,32700,202,,32900
1,1/23/2022 11:46,B227,B,227,15700,201,,15900
1,1/23/2022 12:14,B230,B,230,20700,206,,20900
1,1/23/2022 12:43,B232,B,232,22000,205,,22200
1,1/23/2022 13:11,BLANK,,,238,94.4,,333
2,1/23/2022 14:42,BLANK,,,17.7,53.8,,71.5
2,1/23/2022 15:10,BLANK,,,109,91.6,,201
2,1/23/2022 15:39,E20B233,B,233,17500,200,,17700
2,1/23/2022 16:07,E20B236,B,236,22800,197,,23000
2,1/23/2022 16:35,E20B238,B,238,24000,233,,24200
2,1/23/2022 17:04,E20B240,B,240,30100,193,,30300
2,1/23/2022 17:32,BLANK,,,122,97.7,,220
2,1/23/2022 18:01,E20E153,E,153,33800,201,,34000
2,1/23/2022 18:29,E20E155,E,155,8930,452,a,9380
2,1/23/2022 18:58,E20E157,E,157,7260,242,,7500
2,1/23/2022 19:26,E20E160,E,160,7620,661,a,8280
2,1/23/2022 19:54,E20E162,E,162,7650,939,a,8590
2,1/23/2022 20:23,E20E164,E,164,9280,272,,9550
2,1/23/2022 20:51,E20E167,E,167,8140,221,,8360
2,1/23/2022 21:19,E20E169,E,169,14000,199,,14200
2,1/23/2022 21:48,E20E171,E,171,23500,209,,23700
2,1/23/2022 22:16,E20E174,E,174,29200,227,,29400
2,1/23/2022 22:44,E20E175,E,175,16000,203,,16200
2,1/23/2022 23:13,E20E176,E,176,20600,195,,20800
2,1/23/2022 23:41,BLANK,,,157,90.7,,247
2,1/24/2022 0:09,E20E177,E,177,21400,196,,21600
2,1/24/2022 0:38,E20E178,E,178,25300,200,,25500
2,1/24/2022 1:06,E20E181,E,181,22500,200,,22700
2,1/24/2022 1:35,E20E183,E,183,15400,209,,15600
2,1/24/2022 2:03,E20E185,E,185,16800,211,,17000
2,1/24/2022 2:31,E20E188,E,188,21000,196,,21200
2,1/24/2022 3:00,E20E190,E,190,25500,195,,25700
2,1/24/2022 3:28,E20E192,E,192,26200,204,,26400
2,1/24/2022 3:56,E20E195,E,195,18700,194,,18900
2,1/24/2022 4:25,E20E197,E,197,24500,194,,24700
2,1/24/2022 4:53,E20E199,E,199,17200,196,,17400
2,1/24/2022 5:22,E20E202,E,202,22000,197,,22200
2,1/24/2022 5:50,BLANK,,,78.3,83.1,,161
2,1/24/2022 6:18,E20E204,E,204,21600,196,,21800
2,1/24/2022 6:47,E20E206,E,206,16300,197,,16500
2,1/24/2022 7:15,E20E209,E,209,19100,195,,19300
2,1/24/2022 7:44,E20E210,E,210,29700,194,,29900
2,1/24/2022 8:12,E20E211,E,211,26000,194,,26200
2,1/24/2022 8:40,E20E212,E,212,27100,195,,27300
2,1/24/2022 9:09,E20E213,E,213,18300,195,,18500
2,1/24/2022 9:37,E20E216,E,216,27900,204,,28100
2,1/24/2022 10:06,E20E218,E,218,28200,202,,28400
2,1/24/2022 10:34,E20E220,E,220,14000,223,,14200
2,1/24/2022 11:02,E20E222,E,222,29500,209,,29700
2,1/24/2022 11:31,BLANK,,,107,89.4,,197
2,1/24/2022 11:59,E20E224,E,224,18200,216,,18400
