"sample_id","pond_id","doy","vial","lot_number","sample_type","run","start_time","end_time","vial_number","toc_ppb","ic_ppb","tc_ppb","run_date","mean_blank_toc_ppb","mean_blank_ic_ppb","mean_blank_tc_ppb","doc_ppb","dic_ppb","dc_ppb"
"A188","A",188,"A188","E20","Sample",1,2022-01-22 02:11:38,2022-01-22 02:39:45,"25",18100,205,18300,"Jan. 21",170.225,81.95,252.5,17929.775,123.05,18047.5
"A190","A",190,"A190","E20","Sample",1,2022-01-22 02:39:59,2022-01-22 03:08:06,"26",22700,207,22900,"Jan. 21",170.225,81.95,252.5,22529.775,125.05,22647.5
"A192","A",192,"A192","E20","Sample",1,2022-01-22 03:08:19,2022-01-22 03:36:28,"27",22900,209,23100,"Jan. 21",170.225,81.95,252.5,22729.775,127.05,22847.5
"A195","A",195,"A195","E20","Sample",1,2022-01-22 04:05:04,2022-01-22 04:33:22,"29",23100,203,23300,"Jan. 21",170.225,81.95,252.5,22929.775,121.05,23047.5
"A197","A",197,"A197","E20","Sample",1,2022-01-22 04:33:36,2022-01-22 05:01:46,"30",18800,202,19000,"Jan. 21",170.225,81.95,252.5,18629.775,120.05,18747.5
"A199","A",199,"A199","E20","Sample",1,2022-01-22 05:02:02,2022-01-22 05:30:09,"31",15700,198,15900,"Jan. 21",170.225,81.95,252.5,15529.775,116.05,15647.5
"A202","A",202,"A202","E20","Sample",1,2022-01-22 05:30:23,2022-01-22 05:58:30,"32",27800,204,28000,"Jan. 21",170.225,81.95,252.5,27629.775,122.05,27747.5
"A204","A",204,"A204","E20","Sample",1,2022-01-22 05:58:44,2022-01-22 06:26:54,"33",21700,201,21900,"Jan. 21",170.225,81.95,252.5,21529.775,119.05,21647.5
"A206","A",206,"A206","E20","Sample",1,2022-01-22 06:27:08,2022-01-22 06:55:17,"34",20000,200,20200,"Jan. 21",170.225,81.95,252.5,19829.775,118.05,19947.5
"A209","A",209,"A209","E20","Sample",1,2022-01-22 06:55:30,2022-01-22 07:23:38,"35",31700,208,31900,"Jan. 21",170.225,81.95,252.5,31529.775,126.05,31647.5
"A210","A",210,"A210","E20","Sample",1,2022-01-22 07:23:51,2022-01-22 07:52:03,"36",18400,204,18600,"Jan. 21",170.225,81.95,252.5,18229.775,122.05,18347.5
"A211","A",211,"A211","E20","Sample",1,2022-01-22 07:52:16,2022-01-22 08:20:24,"37",18400,201,18600,"Jan. 21",170.225,81.95,252.5,18229.775,119.05,18347.5
"A212","A",212,"A212","E20","Sample",1,2022-01-22 08:20:38,2022-01-22 08:48:46,"38",26300,207,26500,"Jan. 21",170.225,81.95,252.5,26129.775,125.05,26247.5
"A213","A",213,"A213","E20","Sample",1,2022-01-22 08:48:59,2022-01-22 09:17:09,"39",25300,206,25500,"Jan. 21",170.225,81.95,252.5,25129.775,124.05,25247.5
"A216","A",216,"A216","E20","Sample",1,2022-01-22 09:17:23,2022-01-22 09:45:33,"40",19900,230,20100,"Jan. 21",170.225,81.95,252.5,19729.775,148.05,19847.5
"A218","A",218,"A218","E20","Sample",1,2022-01-22 10:14:11,2022-01-22 10:42:30,"42",25900,201,26100,"Jan. 21",170.225,81.95,252.5,25729.775,119.05,25847.5
"A220","A",220,"A220","E20","Sample",1,2022-01-22 10:42:43,2022-01-22 11:10:53,"43",22200,203,22400,"Jan. 21",170.225,81.95,252.5,22029.775,121.05,22147.5
"A223","A",223,"A223","E20","Sample",1,2022-01-22 11:11:06,2022-01-22 11:39:14,"44",29800,204,30000,"Jan. 21",170.225,81.95,252.5,29629.775,122.05,29747.5
"A225","A",225,"A225","E20","Sample",1,2022-01-22 11:39:28,2022-01-22 12:07:39,"45",23600,207,23800,"Jan. 21",170.225,81.95,252.5,23429.775,125.05,23547.5
"A227","A",227,"A227","E20","Sample",1,2022-01-22 12:07:53,2022-01-22 12:36:02,"46",31000,205,31200,"Jan. 21",170.225,81.95,252.5,30829.775,123.05,30947.5
"A230","A",230,"A230","E20","Sample",1,2022-01-22 12:36:15,2022-01-22 13:04:26,"47",27700,204,27900,"Jan. 21",170.225,81.95,252.5,27529.775,122.05,27647.5
"A232","A",232,"A232","E20","Sample",1,2022-01-22 13:04:39,2022-01-22 13:32:50,"48",30200,203,30400,"Jan. 21",170.225,81.95,252.5,30029.775,121.05,30147.5
"A234","A",234,"A234","E20","Sample",1,2022-01-22 13:33:03,2022-01-22 14:01:14,"49",33800,201,34000,"Jan. 21",170.225,81.95,252.5,33629.775,119.05,33747.5
"A237","A",237,"A237","E20","Sample",1,2022-01-22 14:01:28,2022-01-22 14:29:41,"50",17900,197,18100,"Jan. 21",170.225,81.95,252.5,17729.775,115.05,17847.5
"A239","A",239,"A239","E20","Sample",1,2022-01-22 14:29:58,2022-01-22 14:58:06,"51",27100,202,27300,"Jan. 21",170.225,81.95,252.5,26929.775,120.05,27047.5
"A241","A",241,"A241","E20","Sample",1,2022-01-22 14:58:20,2022-01-22 15:26:30,"52",19900,201,20100,"Jan. 21",170.225,81.95,252.5,19729.775,119.05,19847.5
